ProvinciaCantonDistrito,PoblacionMayor15,TasaNetaParticipacion,TasaOcupacion,TasaDesempleoAbierto,PorcentajeEconomicamenteInactivo,RelacionDependenciaEconomica
Carmen           , 2 431,56.3,54.8,2.7,43.7,1.0,1.6,8.7,89.7
Merced         , 9 655,59.2,57.0,3.8,40.8,1.1,0.8,18.3,80.9
Hospital          , 15 096,56.4,53.9,4.4,43.6,1.3,0.5,18.6,80.9
Catedral          , 10 742,59.0,57.0,3.4,41.0,1.0,0.5,14.6,84.9
Zapote          , 15 545,55.7,54.0,2.9,44.3,1.2,0.6,13.7,85.6
San Francisco de Dos Ríos, 16 895,57.4,56.1,2.3,42.6,1.1,0.5,13.0,86.5
Uruca            , 22 717,59.0,56.6,4.0,41.0,1.4,1.0,29.1,69.9
Mata Redonda      , 7 077,54.0,52.2,3.4,46.0,1.2,1.1,11.7,87.1
Pavas            , 54 510,56.3,53.9,4.2,43.7,1.3,0.7,23.8,75.5
Hatillo           , 39 555,54.7,52.2,4.6,45.3,1.3,0.5,16.4,83.2
San Sebastián     , 31 633,57.5,55.1,4.1,42.5,1.2,0.5,16.1,83.4
Escazú            , 9 580,58.7,56.7,3.4,41.3,1.1,1.6,15.7,82.7
San Antonio       , 17 544,60.6,58.7,3.0,39.4,1.1,3.8,18.6,77.6
San Rafael        , 17 673,61.9,60.2,2.9,38.1,1.0,1.8,15.4,82.8
Desamparados      , 26 951,59.3,56.4,4.8,40.7,1.1,0.5,15.0,84.5
San Miguel        , 24 071,57.1,54.9,3.9,42.9,1.3,1.6,20.2,78.2
San Juan de Dios  , 14 462,56.7,54.7,3.6,43.3,1.4,0.7,22.6,76.7
San Rafael Arriba , 11 832,56.1,54.0,3.8,43.9,1.3,0.8,20.3,78.9
San Antonio       , 7 928,58.8,57.1,2.9,41.2,1.1,0.8,14.9,84.2
Frailes           , 2 844,50.7,48.6,4.2,49.3,1.6,40.4,17.0,42.6
Patarrá          , 8 817,55.6,53.5,3.8,44.4,1.4,2.5,25.7,71.9
San Cristóbal     , 2 839,51.8,50.7,2.3,48.2,1.7,24.2,37.4,38.4
Rosario           , 2 281,54.9,53.8,2.0,45.1,1.5,22.8,15.4,61.8
Damas            , 10 201,58.5,56.9,2.7,41.5,1.2,0.5,19.2,80.3
San Rafael Abajo  , 17 822,59.7,57.6,3.5,40.3,1.2,0.5,20.4,79.1
Gravilias         , 12 360,57.7,55.6,3.6,42.3,1.1,0.5,12.3,87.2
Los Guido, 16 884,51.8,48.5,6.4,48.2,1.8,0.9,26.0,73.1
Santiago          , 9 122,54.1,52.6,2.7,45.9,1.3,6.0,13.5,80.5
Mercedes Sur      , 4 562,50.3,48.9,2.7,49.7,1.6,20.1,16.7,63.3
Barbacoas         , 2 838,49.4,47.8,3.1,50.6,1.6,14.1,18.0,67.9
Grifo Alto        ,  922,44.6,43.2,3.2,55.4,1.9,33.2,13.3,53.5
San Rafael        , 1 409,46.1,44.8,2.8,53.9,1.7,13.3,13.8,72.9
Candelarita       , 1 112,43.3,42.4,1.9,56.7,2.0,37.3,9.5,53.2
Desamparaditos    ,  542,49.3,48.7,1.1,50.7,1.5,8.3,17.0,74.6
San Antonio       , 2 978,54.1,51.8,4.2,45.9,1.4,8.5,17.5,74.0
Chires            , 2 289,44.0,41.8,5.1,56.0,2.0,54.9,6.3,38.9
San Marcos        , 7 427,51.3,49.7,3.2,48.7,1.6,27.9,12.3,59.8
San Lorenzo       , 3 116,51.5,50.2,2.5,48.5,1.7,61.0,6.6,32.5
San Carlos        , 1 257,49.2,48.7,1.1,50.8,2.1,71.2,8.5,20.3
Aserrí            , 21 291,56.6,54.6,3.4,43.4,1.3,1.6,19.8,78.6
Tarbaca     , 1 096,53.5,51.2,4.3,46.5,1.5,20.5,16.6,62.9
Vuelta de Jorco   , 4 956,49.5,48.0,3.0,50.5,1.7,22.4,13.2,64.4
San Gabriel       , 4 521,49.9,48.7,2.3,50.1,1.7,13.5,16.1,70.4
Legua           , 1 063,45.2,43.9,2.7,54.8,2.2,52.5,8.8,38.8
Monterrey         ,  362,47.0,45.6,2.9,53.0,1.9,55.2,10.9,33.9
Salitrillos       , 10 107,55.9,54.0,3.3,44.1,1.4,3.6,22.3,74.1
Colón            , 12 642,58.6,56.7,3.2,41.4,1.2,4.6,15.6,79.8
Guayabo           , 3 381,53.6,52.2,2.5,46.4,1.5,8.8,20.2,71.1
Tabarcia          , 3 561,48.1,46.1,4.1,51.9,1.7,17.7,15.2,67.1
Piedras Negras    ,  288,39.9,38.5,3.5,60.1,2.3,58.6,3.6,37.8
Picagres          ,  542,40.6,39.7,2.3,59.4,2.1,28.8,11.6,59.5
